date;time;station;component_1;component_2;component_3;component_4;component_5;component_6;component_7;component_8;component_9
2026-04-01;00:00;EST-01;19,75;25,37;20,09;35,65;68,29;;4,26;2,03;
2026-04-01;01:00;EST-01;14,72;;19,23;27,45;81,94;0,484;2,28;3,05;23
2026-04-01;02:00;EST-01;21,51;34,12;14,08;14,26;77,34;0,377;3,14;1,97;
2026-04-01;03:00;EST-01;19,6;33,83;17,49;41,63;62,39;0,337;2,37;3,42;68,2
2026-04-01;04:00;EST-01;18,08;23,89;12,22;22,31;64,46;0,535;2,67;2,85;139,5
2026-04-01;05:00;EST-01;20,05;37,3;19,05;32,1;56,26;0,561;5,26;0,31;281,1
2026-04-01;06:00;EST-01;18,12;25,16;18,62;38,03;47,48;0,745;0,63;2;228,5
2026-04-01;07:00;EST-01;23,31;41,56;26,38;34,14;47,91;0,825;3,62;0,59;84,2
2026-04-01;08:00;EST-01;18,32;32,3;25,71;41,52;47,44;0,824;5,25;2,04;293
2026-04-01;09:00;EST-01;20,39;30,44;25,68;26,38;53,6;0,833;4,02;3,22;250,7
2026-04-01;10:00;EST-01;26,66;42,07;27,88;38,4;42,56;0,783;1,35;1;327,1
2026-04-01;11:00;EST-01;21,21;31,66;38,57;51,14;60,28;0,943;3,59;1,07;324,9
2026-04-01;12:00;EST-01;28,83;35,76;35,83;52,07;56,44;0,93;4,14;1,71;155,6
2026-04-01;13:00;EST-01;25,95;51,13;33,46;38,66;65,9;1,219;6,72;;52
2026-04-01;14:00;EST-01;31,85;43,83;31,8;37,11;67,66;;5,27;2,17;345,1
2026-04-01;15:00;EST-01;21,8;36,76;38,85;70,36;92,66;1,249;2,02;0;96,1
2026-04-01;16:00;EST-01;22,21;33,05;30,6;41,71;86,4;1,17;3,68;0,95;39,1
2026-04-01;17:00;EST-01;22,88;36,29;40,91;58,32;90,04;1,008;1,63;1,05;199,7
2026-04-01;18:00;EST-01;32,51;47,09;34,19;40,65;92,91;1,058;3,69;2,44;337
2026-04-01;19:00;EST-01;24,82;36,98;;19,82;90,35;1,14;4,32;2,32;186,8
2026-04-01;20:00;EST-01;27,22;44,87;22,95;40,97;92,57;1,03;4,37;0,66;86,7
2026-04-01;21:00;EST-01;27,57;54,45;21,51;27,05;98,09;0,53;2,21;3,46;349,9
2026-04-01;22:00;EST-01;19,98;30,99;21,69;41,62;87,86;0,697;0;2,43;249,9
2026-04-01;23:00;EST-01;;17,61;16,26;30,09;;0,522;3,03;2,01;175,9
2026-04-02;00:00;EST-01;20,69;;15,57;16,23;78,66;0,49;4,35;0,87;50,5
2026-04-02;01:00;EST-01;19,05;45,58;;27,79;73,45;0,194;2,82;2,97;
2026-04-02;02:00;EST-01;15,08;20,21;4,26;4,67;63,63;0,321;2,25;2,36;312,3
2026-04-02;03:00;EST-01;12,27;32,4;8,9;3,69;75,85;0,849;1,66;1,95;52,6
2026-04-02;04:00;EST-01;25,45;34,8;15,11;27,38;62,61;0,397;3,73;0,44;7,6
2026-04-02;05:00;EST-01;18,11;30,36;15,15;;61,93;0,54;4,7;2,58;315
2026-04-02;06:00;EST-01;17,11;29,28;19,51;44,06;62,12;0,658;2,47;0,83;300
2026-04-02;07:00;EST-01;22,02;38,11;13,69;26,58;53,41;0,53;3,06;2,9;231,3
2026-04-02;08:00;EST-01;20,83;32,71;23,74;;58,83;0,415;3,53;2,76;95,9
2026-04-02;09:00;EST-01;21,55;23,94;29,23;54,74;41,48;1,033;3,34;2,41;246,9
2026-04-02;10:00;EST-01;22,66;44,06;32,91;59,94;59,74;1,066;7,49;3,16;289,6
2026-04-02;11:00;EST-01;23,64;38,23;28,58;47,93;48,79;1,2;3,62;4,26;34,2
2026-04-02;12:00;EST-01;32,75;56,78;;35,58;52,97;1,069;7,02;3,46;286,2
2026-04-02;13:00;EST-01;21,81;35,09;28,58;34,64;66,7;1,36;5,22;0;188,1
2026-04-02;14:00;EST-01;26,29;44,54;43,08;43,81;66,45;1,289;0,84;4,71;236,8
2026-04-02;15:00;EST-01;29,25;43,37;;62,77;76,57;1,222;;1,2;113,2
2026-04-02;16:00;EST-01;24,85;42,07;38,66;45,65;79,25;1,369;2,51;1,27;280,9
2026-04-02;17:00;EST-01;28,21;45,2;38,72;61,06;89,19;1,166;8,66;2,19;43,9
2026-04-02;18:00;EST-01;30,42;45,92;30,54;53,23;77,71;0,812;0,8;1,31;108,7
2026-04-02;19:00;EST-01;25,13;41,87;20,52;10,25;89,64;0,833;4,92;3,55;359,7
2026-04-02;20:00;EST-01;19,35;31,79;28,8;42,15;93,18;0,694;3,64;2,8;71,4
2026-04-02;21:00;EST-01;19,39;34,15;21,08;28,58;94,3;0,398;1,41;0,28;305,8
2026-04-02;22:00;EST-01;17,29;32,16;18,58;27,59;93,86;0,799;3,86;4,53;226,8
2026-04-02;23:00;EST-01;15,82;21,75;10,53;7,63;81,99;0,638;7,44;0,43;19,6
2026-04-03;00:00;EST-01;14,37;25,85;15,68;7,31;85,57;0,363;;0,9;165,1
2026-04-03;01:00;EST-01;19,85;30,62;16,98;26,67;83,1;0,362;1,05;4,1;233,7
2026-04-03;02:00;EST-01;22,46;38,23;14,34;22,87;81,71;0,712;4,14;2,74;109,7
2026-04-03;03:00;EST-01;;25,6;;23,81;59,82;0,175;0;0,82;13
2026-04-03;04:00;EST-01;17,36;39,4;21,87;22,92;62,09;0,393;3,43;2,78;113,8
2026-04-03;05:00;EST-01;17,81;34,89;12,22;17,16;71,44;0,551;6,87;2,64;331,6
2026-04-03;06:00;EST-01;19,77;30,61;16,1;25,99;47,57;0,7;6,17;3,05;101
2026-04-03;07:00;EST-01;22,78;34,6;27,09;23,27;48,67;0,398;1,01;4,55;55,3
2026-04-03;08:00;EST-01;19,12;21,58;10,18;9,9;64,52;0,865;2,88;3,2;253,9
2026-04-03;09:00;EST-01;;35,55;27,16;44,35;52,75;1,004;2,62;3,85;356,1
2026-04-03;10:00;EST-01;20,12;26,86;36,68;49,82;61,1;0,934;6,91;2,7;156,2
2026-04-03;11:00;EST-01;;47,57;27,37;34,72;58,57;0,848;5,27;1,69;211,1
2026-04-03;12:00;EST-01;15,89;20,7;25,23;28,71;61,49;1,12;3,49;2,26;20,9
2026-04-03;13:00;EST-01;21,83;39,17;37,97;56,24;68,16;1,231;8,07;2,37;327,4
2026-04-03;14:00;EST-01;22,99;30,58;28,78;33,18;69,58;1,25;4,1;1,35;122
2026-04-03;15:00;EST-01;28,82;45,16;31,39;48,34;76,3;0,969;3,86;2,89;253,1
2026-04-03;16:00;EST-01;26,22;33,23;40,34;66,46;78,48;1,201;0;0,77;281,5
2026-04-03;17:00;EST-01;;37,15;42,06;49,47;79,12;1,118;7,22;0,67;103,8
2026-04-03;18:00;EST-01;31,29;40,15;23,59;29,64;84,2;1,122;4,48;0;148,2
2026-04-03;19:00;EST-01;20,73;40,81;24,45;29,14;92,57;1,018;4,9;0;17,5
2026-04-03;20:00;EST-01;17,86;29,99;17,88;28,6;85,16;0,608;5,43;2,86;84,4
2026-04-03;21:00;EST-01;26,77;40,19;22,57;33,75;85,6;0,767;2,93;1,88;241,8
2026-04-03;22:00;EST-01;15,84;10,86;28,05;59,67;84,89;0,309;3,38;2,07;319,2
