date;time;Temp Out - Ind;Hum Out - Ind;Wind Speed - Ind;Wind Dir;Press - Ind;Rain - mm;Radiacion Solar
2026-04-01;00:00;10.1;85.9;2.93;102.8;1013.6;0.0;0.0
2026-04-01;01:00;11.4;81.7;2.06;175.7;1011.6;3.9;0.0
2026-04-01;02:00;14.5;73.5;;76.8;1010.8;0.0;0.0
2026-04-01;03:00;15.5;74.4;1.44;243.0;1018.1;0.0;0.0
2026-04-01;04:00;16.2;71.5;2.94;142.1;1012.4;0.0;0.0
2026-04-01;05:00;18.0;63.3;5.19;156.7;1014.8;0.0;0.0
2026-04-01;06:00;20.5;64.2;4.85;5.0;1015.6;0.0;
2026-04-01;07:00;20.1;63.0;;98.7;1011.8;0.0;176.9
2026-04-01;08:00;20.9;56.9;2.22;123.7;1012.5;0.0;456.0
2026-04-01;09:00;24.5;49.3;3.86;316.5;1015.8;0.0;690.4
2026-04-01;10:00;25.6;46.8;2.44;257.5;1015.3;0.0;814.7
2026-04-01;11:00;27.4;46.3;5.83;352.3;1008.9;0.0;856.0
2026-04-01;12:00;26.7;41.9;4.07;79.5;1013.1;0.0;942.1
2026-04-01;13:00;26.8;46.6;4.85;289.1;1013.5;0.0;773.0
2026-04-01;14:00;24.9;48.9;5.81;202.7;1014.1;0.0;764.7
2026-04-01;15:00;21.8;49.0;;214.4;1011.1;0.0;645.1
2026-04-01;16:00;21.6;52.0;2.78;233.4;1016.9;0.0;490.1
2026-04-01;17:00;19.8;59.5;6.62;220.2;1016.3;0.0;160.8
2026-04-01;18:00;17.4;58.9;4.75;;1012.8;0.0;7.8
2026-04-01;19:00;17.6;66.1;4.68;329.0;;0.9;0.0
2026-04-01;20:00;16.4;73.4;0.71;125.6;1009.8;0.0;
2026-04-01;21:00;15.1;71.7;3.31;57.7;1018.0;0.0;0.0
2026-04-01;22:00;11.6;73.5;1.63;97.9;1013.2;0.0;0.0
2026-04-01;23:00;12.5;80.2;3.01;136.9;1013.9;0.0;0.0
2026-04-02;00:00;13.0;78.1;0.46;125.0;1013.9;0.0;0.0
2026-04-02;01:00;11.7;81.5;1.93;310.9;1017.5;0.0;0.0
2026-04-02;02:00;12.7;83.2;4.27;340.4;1019.9;0.0;0.0
2026-04-02;03:00;13.8;70.7;2.96;157.5;1013.1;0.0;0.0
2026-04-02;04:00;15.8;70.4;4.92;346.3;1015.6;0.0;0.0
2026-04-02;05:00;17.5;67.4;3.46;225.1;1011.2;0.0;0.0
2026-04-02;06:00;19.6;62.3;2.16;15.3;1011.4;3.5;5.4
2026-04-02;07:00;20.1;58.2;2.17;43.6;1013.0;0.0;196.7
2026-04-02;08:00;21.1;56.4;2.59;321.3;1011.9;0.0;388.3
2026-04-02;09:00;24.5;51.8;5.17;218.6;1013.7;0.0;632.4
2026-04-02;10:00;25.2;46.0;3.32;74.9;1008.4;0.0;797.8
2026-04-02;11:00;26.0;41.8;4.25;70.4;1010.3;0.0;853.4
2026-04-02;12:00;25.3;47.8;3.24;;1011.5;0.0;902.9
2026-04-02;13:00;26.1;41.7;3.54;358.2;1013.4;0.0;912.3
2026-04-02;14:00;24.5;47.7;2.42;178.2;1010.8;0.0;717.1
2026-04-02;15:00;21.8;52.2;3.23;342.8;1018.8;0.0;623.2
2026-04-02;16:00;23.3;50.7;5.88;310.5;1009.7;4.1;505.4
2026-04-02;17:00;18.9;55.0;4.01;103.5;1015.4;0.0;319.7
2026-04-02;18:00;18.4;63.1;4.49;11.3;1012.2;0.0;0.0
2026-04-02;19:00;15.8;64.7;1.35;215.2;1008.9;0.0;0.0
2026-04-02;20:00;17.5;75.5;2.7;202.6;1015.9;0.0;0.0
2026-04-02;21:00;14.7;71.8;4.01;246.0;1013.2;0.0;0.0
