date;time;station;SO2 ppb;PM10 µg/m3 std;PM2.5 µg/m3 std;NO2 ppb;CO ppm;O3 ppb
2026-04-01;00:00;EST-01;3.27;31.4;17.44;9.64;0.492;48.79
2026-04-01;01:00;EST-01;3.14;37.05;16.38;9.82;0.571;52.52
2026-04-01;02:00;EST-01;3.13;23.22;;14.78;0.339;45.21
2026-04-01;03:00;EST-01;0.79;21.27;11.66;11.37;0.36;45.62
2026-04-01;04:00;EST-01;3.46;28.48;9.59;11.05;0.541;41.82
2026-04-01;05:00;EST-01;1.75;27.69;15.45;11.4;0.73;34.62
2026-04-01;06:00;EST-01;3.96;37.11;;16.05;0.688;36.99
2026-04-01;07:00;EST-01;3.01;33.7;24.98;12.48;0.863;36.02
2026-04-01;08:00;EST-01;4.23;46.8;23.67;16.2;0.859;37.88
2026-04-01;09:00;EST-01;5.29;40.45;21.54;26.0;1.113;32.05
2026-04-01;10:00;EST-01;6.24;35.02;22.95;20.75;0.955;35.69
2026-04-01;11:00;EST-01;;45.91;18.49;24.19;1.175;28.7
2026-04-01;12:00;EST-01;6.18;39.41;28.0;31.55;1.114;39.41
2026-04-01;13:00;EST-01;6.63;49.74;22.4;28.48;1.23;43.66
2026-04-01;14:00;EST-01;;34.12;23.96;28.23;1.34;50.77
2026-04-01;15:00;EST-01;6.9;44.61;;33.9;1.187;53.65
2026-04-01;16:00;EST-01;5.18;42.08;17.69;20.65;1.117;49.25
2026-04-01;17:00;EST-01;6.61;52.51;20.21;24.87;;58.8
2026-04-01;18:00;EST-01;5.79;36.56;24.96;27.58;0.901;57.93
2026-04-01;19:00;EST-01;5.56;30.03;22.69;19.9;1.057;60.54
2026-04-01;20:00;EST-01;5.11;31.25;20.58;13.01;0.714;
2026-04-01;21:00;EST-01;1.93;38.33;14.11;21.7;0.658;63.47
2026-04-01;22:00;EST-01;4.16;22.58;23.87;22.27;0.667;56.96
2026-04-01;23:00;EST-01;3.39;24.71;22.72;12.46;0.596;52.37
2026-04-02;00:00;EST-01;2.52;21.94;22.8;12.59;0.663;53.82
2026-04-02;01:00;EST-01;2.23;27.04;16.14;12.34;0.467;49.24
2026-04-02;02:00;EST-01;;23.96;23.79;;0.374;49.19
2026-04-02;03:00;EST-01;4.76;20.28;17.37;9.78;0.301;47.94
2026-04-02;04:00;EST-01;3.24;30.03;15.77;15.02;0.482;40.54
2026-04-02;05:00;EST-01;2.26;23.26;23.55;12.61;;38.49
2026-04-02;06:00;EST-01;3.47;28.75;21.71;15.29;0.657;36.79
2026-04-02;07:00;EST-01;5.89;37.33;21.56;16.42;0.594;40.17
2026-04-02;08:00;EST-01;6.16;33.96;22.9;24.13;0.95;39.61
2026-04-02;09:00;EST-01;4.97;45.44;17.41;26.78;1.0;39.79
2026-04-02;10:00;EST-01;8.25;46.71;18.49;18.75;1.123;31.6
2026-04-02;11:00;EST-01;6.4;44.08;17.37;18.92;1.129;38.88
2026-04-02;12:00;EST-01;6.44;40.23;20.59;22.74;1.133;36.39
2026-04-02;13:00;EST-01;4.96;43.63;23.68;31.32;1.069;
2026-04-02;14:00;EST-01;5.8;35.48;24.68;26.87;1.243;49.2
2026-04-02;15:00;EST-01;9.36;32.24;27.01;29.34;1.186;
2026-04-02;16:00;EST-01;6.18;44.46;23.31;29.12;1.118;59.52
2026-04-02;17:00;EST-01;6.39;25.84;20.7;19.49;0.707;53.69
2026-04-02;18:00;EST-01;7.6;38.08;18.4;21.74;1.161;59.11
2026-04-02;19:00;EST-01;;36.03;21.91;26.55;1.007;60.65
2026-04-02;20:00;EST-01;3.75;37.87;18.61;25.38;0.697;59.31
2026-04-02;21:00;EST-01;4.47;25.3;26.25;24.51;0.704;
2026-04-02;22:00;EST-01;4.45;16.12;20.38;16.25;0.685;52.94
2026-04-02;23:00;EST-01;3.26;29.49;23.04;15.97;0.602;63.98
2026-04-03;00:00;EST-01;2.6;27.27;12.04;;;58.33
2026-04-03;01:00;EST-01;3.87;29.67;18.86;11.3;0.487;51.01
2026-04-03;02:00;EST-01;4.81;32.13;17.8;9.68;0.424;55.51
2026-04-03;03:00;EST-01;3.68;29.41;16.89;7.87;0.504;48.63
2026-04-03;04:00;EST-01;;28.24;17.63;13.64;0.356;40.07
2026-04-03;05:00;EST-01;2.56;35.86;16.18;16.94;0.785;37.09
2026-04-03;06:00;EST-01;;32.95;19.49;12.53;0.73;46.75
2026-04-03;07:00;EST-01;4.17;32.03;16.57;19.95;0.61;29.89
2026-04-03;08:00;EST-01;6.54;29.37;24.78;27.1;0.881;37.77
2026-04-03;09:00;EST-01;7.86;35.17;19.7;17.92;0.946;42.82
2026-04-03;10:00;EST-01;7.15;32.15;19.51;23.48;1.06;35.65
2026-04-03;11:00;EST-01;6.67;40.82;;27.2;1.122;38.24
2026-04-03;12:00;EST-01;7.34;51.22;25.67;29.02;0.951;43.19
2026-04-03;13:00;EST-01;4.6;32.14;26.89;32.52;1.17;35.71
2026-04-03;14:00;EST-01;6.55;36.73;26.23;39.03;1.226;43.6
2026-04-03;15:00;EST-01;5.53;40.26;23.28;25.09;1.202;44.98
2026-04-03;16:00;EST-01;8.07;46.37;27.39;26.9;1.215;53.09
2026-04-03;17:00;EST-01;5.95;37.01;18.57;21.59;1.193;55.38
2026-04-03;18:00;EST-01;6.26;43.81;16.43;22.36;1.046;60.29
2026-04-03;19:00;EST-01;5.07;42.53;22.51;18.48;0.829;63.6
2026-04-03;20:00;EST-01;5.56;23.41;25.72;23.39;1.011;
2026-04-03;21:00;EST-01;4.13;26.49;29.1;17.97;0.95;56.34
2026-04-03;22:00;EST-01;4.2;21.77;18.16;20.44;0.525;63.69
2026-04-03;23:00;EST-01;3.99;;17.12;;0.597;53.66
2026-04-04;00:00;EST-01;2.28;27.78;14.81;8.05;0.541;58.16
2026-04-04;01:00;EST-01;1.23;29.03;15.83;8.4;;48.14
2026-04-04;02:00;EST-01;4.8;24.12;19.35;11.09;0.41;50.44
2026-04-04;03:00;EST-01;2.88;32.62;17.94;7.96;0.5;44.52
2026-04-04;04:00;EST-01;4.42;24.17;18.26;6.32;0.625;35.84
